epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.144,2.00689,2.07595,1.55812,0.89136,0.33791,0.38427,0.20155,1.57907,1.32376,1.26788,0.000415052,0.000415052,0.000415052
2,363.948,1.6022,1.20011,1.29,0.74637,0.47863,0.50824,0.28103,1.46538,1.01887,1.23895,0.00081525,0.00081525,0.00081525
3,543.801,1.51229,1.03712,1.24291,0.59975,0.54022,0.56057,0.30135,1.4921,0.96655,1.25213,0.00119895,0.00119895,0.00119895
4,722.776,1.47063,0.94732,1.22227,0.69957,0.55382,0.59984,0.32875,1.47524,0.87861,1.2466,0.00117575,0.00117575,0.00117575
5,901.505,1.44435,0.89115,1.20808,0.75227,0.54985,0.60745,0.35599,1.36371,0.78551,1.18793,0.001151,0.001151,0.001151
6,1080.17,1.39542,0.84425,1.18369,0.74871,0.58494,0.65521,0.39299,1.30854,0.74266,1.14598,0.00112625,0.00112625,0.00112625
7,1259.66,1.37653,0.81662,1.17495,0.67439,0.585,0.61974,0.355,1.34823,0.76345,1.17555,0.0011015,0.0011015,0.0011015
8,1439.07,1.36127,0.79005,1.16667,0.80758,0.61988,0.69557,0.41747,1.24568,0.69154,1.13009,0.00107675,0.00107675,0.00107675
9,1618.74,1.33678,0.77148,1.15416,0.80938,0.63992,0.69611,0.42625,1.25463,0.67593,1.12918,0.001052,0.001052,0.001052
10,1798.45,1.32462,0.7562,1.14756,0.83153,0.64592,0.70531,0.42689,1.25605,0.65707,1.11904,0.00102725,0.00102725,0.00102725
11,1978.3,1.3153,0.74262,1.1427,0.90914,0.6292,0.72202,0.45018,1.2085,0.64925,1.10164,0.0010025,0.0010025,0.0010025
12,2157.81,1.30269,0.72702,1.13581,0.78177,0.6872,0.73358,0.45324,1.23175,0.64115,1.12047,0.00097775,0.00097775,0.00097775
13,2336.88,1.28553,0.71142,1.13025,0.86704,0.64556,0.71738,0.44841,1.23622,0.62952,1.10782,0.000953,0.000953,0.000953
14,2516.12,1.27622,0.7042,1.12504,0.82075,0.70224,0.74677,0.47012,1.18852,0.61858,1.09106,0.00092825,0.00092825,0.00092825
15,2695.46,1.27018,0.69738,1.12216,0.82425,0.6716,0.72699,0.46323,1.20373,0.62627,1.10374,0.0009035,0.0009035,0.0009035
16,2874.39,1.26117,0.68935,1.11676,0.80405,0.71882,0.76039,0.49163,1.14321,0.57886,1.07022,0.00087875,0.00087875,0.00087875
17,3053.54,1.25253,0.67785,1.11067,0.85564,0.69252,0.76103,0.48772,1.15555,0.59763,1.07874,0.000854,0.000854,0.000854
18,3232.58,1.24161,0.67405,1.10718,0.85729,0.68269,0.74071,0.4718,1.18059,0.60122,1.08921,0.00082925,0.00082925,0.00082925
19,3411.25,1.2337,0.66675,1.10495,0.83699,0.73587,0.7711,0.50015,1.1515,0.58579,1.07787,0.0008045,0.0008045,0.0008045
20,3590.07,1.23131,0.65903,1.10039,0.84318,0.72722,0.77847,0.49912,1.14496,0.57009,1.06954,0.00077975,0.00077975,0.00077975
21,3768.67,1.22274,0.65614,1.09859,0.85043,0.72746,0.77484,0.50739,1.14137,0.56524,1.06862,0.000755,0.000755,0.000755
22,3948.16,1.21505,0.65149,1.09439,0.86878,0.72747,0.78426,0.51736,1.12623,0.55985,1.06044,0.00073025,0.00073025,0.00073025
23,4126.67,1.21076,0.64212,1.08938,0.83066,0.74902,0.79294,0.52148,1.10569,0.54052,1.05414,0.0007055,0.0007055,0.0007055
24,4305.58,1.20019,0.63954,1.08731,0.86744,0.72042,0.78068,0.51576,1.10069,0.56092,1.05667,0.00068075,0.00068075,0.00068075
25,4483.88,1.19113,0.63146,1.08193,0.84814,0.73823,0.78733,0.52494,1.09804,0.54194,1.0474,0.000656,0.000656,0.000656
26,4662.35,1.18523,0.62665,1.07842,0.86248,0.73131,0.79719,0.52745,1.1047,0.54553,1.05091,0.00063125,0.00063125,0.00063125
27,4840.89,1.18471,0.62594,1.08024,0.80426,0.75272,0.78828,0.52606,1.09457,0.54652,1.04927,0.0006065,0.0006065,0.0006065
28,5019.47,1.17765,0.62147,1.07236,0.90485,0.71625,0.79602,0.53757,1.07062,0.52471,1.03247,0.00058175,0.00058175,0.00058175
29,5198.1,1.17205,0.61712,1.07499,0.78556,0.75934,0.78834,0.52199,1.09035,0.53685,1.04414,0.000557,0.000557,0.000557
30,5376.89,1.16594,0.61303,1.0742,0.85324,0.7576,0.80147,0.53564,1.074,0.51828,1.03521,0.00053225,0.00053225,0.00053225
31,5555.41,1.16099,0.60984,1.06773,0.8197,0.75293,0.80053,0.53487,1.07414,0.52304,1.03837,0.0005075,0.0005075,0.0005075
32,5734.39,1.15085,0.60082,1.06321,0.84237,0.76538,0.80587,0.54372,1.07252,0.52161,1.03163,0.00048275,0.00048275,0.00048275
33,5912.79,1.14267,0.59554,1.06206,0.85614,0.75777,0.80157,0.54172,1.05089,0.50978,1.02678,0.000458,0.000458,0.000458
34,6091.24,1.15011,0.60082,1.06262,0.85378,0.75322,0.80336,0.54134,1.05132,0.50828,1.02694,0.00043325,0.00043325,0.00043325
35,6269.7,1.14345,0.59741,1.06268,0.8611,0.76932,0.8169,0.54939,1.05133,0.50532,1.02575,0.0004085,0.0004085,0.0004085
36,6448.01,1.13183,0.58912,1.05791,0.85169,0.78282,0.81749,0.55495,1.04356,0.50097,1.0204,0.00038375,0.00038375,0.00038375
37,6626.49,1.13127,0.58693,1.05551,0.92832,0.75033,0.82458,0.5617,1.03289,0.50017,1.01836,0.000359,0.000359,0.000359
38,6805.11,1.12897,0.5871,1.05577,0.88029,0.76414,0.81978,0.55562,1.04215,0.50275,1.02402,0.00033425,0.00033425,0.00033425
39,6983.64,1.11736,0.58185,1.05304,0.90258,0.74577,0.80983,0.55077,1.03988,0.49731,1.01807,0.0003095,0.0003095,0.0003095
40,7162.21,1.11865,0.57626,1.04786,0.85626,0.7738,0.81424,0.55712,1.02848,0.49309,1.01448,0.00028475,0.00028475,0.00028475
41,7336.55,1.05438,0.52372,1.02917,0.79518,0.74665,0.778,0.50582,1.09879,0.53149,1.04529,0.00026,0.00026,0.00026
42,7510.49,1.03444,0.50929,1.02199,0.81588,0.74187,0.78998,0.52648,1.05684,0.51383,1.02853,0.00023525,0.00023525,0.00023525
43,7684.43,1.02333,0.50211,1.01578,0.82727,0.75056,0.79694,0.53504,1.05489,0.50879,1.02638,0.0002105,0.0002105,0.0002105
44,7858.33,1.01885,0.49944,1.01461,0.84183,0.74977,0.80128,0.5381,1.06094,0.51259,1.02781,0.00018575,0.00018575,0.00018575
45,8032.14,1.01091,0.49405,1.01012,0.83048,0.76294,0.80388,0.54142,1.04897,0.50662,1.02283,0.000161,0.000161,0.000161
46,8206.09,1.0004,0.49033,1.00508,0.84069,0.77479,0.81853,0.55228,1.03583,0.4962,1.01792,0.00013625,0.00013625,0.00013625
47,8379.96,0.99662,0.4866,1.00359,0.87951,0.7474,0.81068,0.54568,1.04869,0.50114,1.02103,0.0001115,0.0001115,0.0001115
