epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.223,2.23872,2.33996,1.69461,0.76311,0.26401,0.21371,0.0978,1.82691,1.80191,1.44618,0.000415052,0.000415052,0.000415052
2,349.04,1.69338,1.31063,1.33054,0.56435,0.41105,0.28166,0.14485,1.62748,inf,1.30945,0.00081525,0.00081525,0.00081525
3,522.482,1.59073,1.10817,1.27291,0.77713,0.46961,0.50513,0.26594,1.54573,1.0617,1.27712,0.00119895,0.00119895,0.00119895
4,695.739,1.5389,1.01837,1.25104,0.71798,0.51468,0.52182,0.28421,1.50935,1.13788,1.27629,0.00117575,0.00117575,0.00117575
5,868.957,1.49372,0.93328,1.2271,0.65416,0.53435,0.58113,0.33208,1.41213,0.81407,1.19315,0.001151,0.001151,0.001151
6,1041.98,1.45012,0.88309,1.20608,0.67356,0.50661,0.54587,0.29653,1.43147,0.79989,1.19997,0.00112625,0.00112625,0.00112625
7,1214.99,1.42802,0.84912,1.19639,0.85668,0.55891,0.6302,0.36028,1.35396,0.76368,1.16928,0.0011015,0.0011015,0.0011015
8,1387.97,1.40101,0.81977,1.18353,0.79187,0.58013,0.6272,0.36996,1.31648,0.76727,1.16056,0.00107675,0.00107675,0.00107675
9,1562.14,1.37357,0.79583,1.16935,0.69345,0.59194,0.6449,0.38688,1.26978,0.77092,1.14746,0.001052,0.001052,0.001052
10,1735.16,1.35523,0.77051,1.1616,0.76721,0.60503,0.65934,0.41141,1.23781,0.66661,1.11335,0.00102725,0.00102725,0.00102725
11,1908.52,1.34339,0.7592,1.15472,0.66597,0.62677,0.66228,0.40169,1.26406,0.71258,1.1319,0.0010025,0.0010025,0.0010025
12,2081.68,1.32361,0.73823,1.14407,0.78165,0.62951,0.68373,0.41248,1.24542,0.6781,1.12374,0.00097775,0.00097775,0.00097775
13,2254.76,1.30491,0.72137,1.13665,0.80736,0.65908,0.71249,0.44874,1.20884,0.64082,1.09742,0.000953,0.000953,0.000953
14,2427.81,1.29398,0.7099,1.13099,0.72707,0.65949,0.69706,0.4374,1.19208,0.64345,1.09631,0.00092825,0.00092825,0.00092825
15,2600.84,1.28924,0.70705,1.12866,0.79978,0.68488,0.72809,0.46058,1.178,0.59852,1.08515,0.0009035,0.0009035,0.0009035
16,2774.11,1.27196,0.69251,1.12018,0.87187,0.64782,0.72305,0.45569,1.17216,0.59894,1.0803,0.00087875,0.00087875,0.00087875
17,2947.35,1.26434,0.68116,1.11588,0.77033,0.68396,0.71956,0.44394,1.17598,0.6007,1.09342,0.000854,0.000854,0.000854
18,3120.42,1.24711,0.67603,1.10865,0.83958,0.65502,0.72084,0.45198,1.17782,0.60836,1.09512,0.00082925,0.00082925,0.00082925
19,3293.61,1.23483,0.66735,1.1038,0.8041,0.69772,0.74558,0.47345,1.15274,0.58101,1.0735,0.0008045,0.0008045,0.0008045
