epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.559,1.59174,1.59825,1.25669,0.83867,0.51049,0.56213,0.31717,1.43419,0.9754,1.19214,0.000415052,0.000415052,0.000415052
2,333.745,1.43593,0.95617,1.19225,0.73891,0.60404,0.65082,0.37632,1.30486,0.77089,1.13348,0.00081525,0.00081525,0.00081525
3,499.267,1.39196,0.87551,1.17472,0.7542,0.65228,0.68889,0.39976,1.31784,0.75004,1.15004,0.00119895,0.00119895,0.00119895
4,664.837,1.36171,0.82117,1.16471,0.8257,0.64979,0.71146,0.43965,1.23033,0.69298,1.12103,0.00117575,0.00117575,0.00117575
5,830.292,1.35368,0.78085,1.16047,0.77556,0.66004,0.70854,0.44546,1.20711,0.64896,1.10328,0.001151,0.001151,0.001151
6,995.669,1.31406,0.74768,1.14298,0.71457,0.66759,0.70192,0.42448,1.28126,0.67634,1.12029,0.00112625,0.00112625,0.00112625
7,1161.09,1.29489,0.72524,1.13391,0.79851,0.66888,0.73949,0.45955,1.22108,0.64734,1.1074,0.0011015,0.0011015,0.0011015
8,1326.71,1.28302,0.70356,1.12751,0.79278,0.71844,0.75719,0.47264,1.19961,0.61288,1.1008,0.00107675,0.00107675,0.00107675
9,1492.28,1.26205,0.68793,1.1193,0.84844,0.71852,0.76887,0.48644,1.15889,0.593,1.08437,0.001052,0.001052,0.001052
10,1657.74,1.2489,0.67649,1.11149,0.82128,0.73979,0.77991,0.49115,1.14076,0.5661,1.06145,0.00102725,0.00102725,0.00102725
11,1823.71,1.24464,0.66458,1.11103,0.8041,0.72758,0.76705,0.49457,1.1309,0.57203,1.07106,0.0010025,0.0010025,0.0010025
12,1989.51,1.22565,0.64779,1.10197,0.83792,0.75024,0.77129,0.49434,1.12229,0.55795,1.06999,0.00097775,0.00097775,0.00097775
13,2155.18,1.21159,0.63557,1.09702,0.88557,0.70655,0.79026,0.50856,1.1263,0.55512,1.06252,0.000953,0.000953,0.000953
14,2320.74,1.20421,0.62876,1.09174,0.8359,0.771,0.79701,0.51675,1.10041,0.55205,1.05336,0.00092825,0.00092825,0.00092825
15,2486.59,1.19492,0.62518,1.08865,0.84314,0.7539,0.79955,0.5222,1.09691,0.52684,1.04449,0.0009035,0.0009035,0.0009035
16,2653,1.18829,0.61721,1.08337,0.87534,0.76289,0.81491,0.51631,1.09029,0.52712,1.04093,0.00087875,0.00087875,0.00087875
