epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.809,1.63095,1.86711,1.25724,0.73204,0.47131,0.47736,0.2408,1.61832,1.12997,1.25966,0.000415052,0.000415052,0.000415052
2,474.618,1.44455,1.01285,1.19238,0.58964,0.61639,0.60289,0.3443,1.39037,0.91329,1.18873,0.00081525,0.00081525,0.00081525
3,710.813,1.40775,0.91652,1.17818,0.79104,0.61324,0.65869,0.39039,1.27376,0.75193,1.11834,0.00119895,0.00119895,0.00119895
4,946.79,1.38684,0.8628,1.17492,0.79057,0.60948,0.67094,0.38993,1.32023,0.79871,1.1629,0.00117575,0.00117575,0.00117575
5,1182.69,1.35047,0.80918,1.15785,0.81617,0.63792,0.68113,0.40766,1.34026,0.70103,1.14986,0.001151,0.001151,0.001151
6,1418.52,1.31901,0.77228,1.14567,0.90344,0.63947,0.72256,0.45101,1.19419,0.67356,1.09486,0.00112625,0.00112625,0.00112625
7,1654.32,1.30969,0.74711,1.13936,0.86419,0.70013,0.74106,0.45355,1.20421,0.61839,1.09988,0.0011015,0.0011015,0.0011015
8,1890.16,1.28932,0.72237,1.12909,0.78758,0.68688,0.71671,0.44411,1.19621,0.61563,1.09647,0.00107675,0.00107675,0.00107675
9,2126.1,1.27476,0.70775,1.12228,0.90372,0.67093,0.7455,0.47347,1.21007,0.61023,1.09538,0.001052,0.001052,0.001052
10,2361.83,1.26017,0.69199,1.11562,0.78296,0.70398,0.73949,0.47712,1.13871,0.58298,1.06633,0.00102725,0.00102725,0.00102725
11,2597.72,1.25358,0.68168,1.11426,0.80839,0.69837,0.75553,0.48659,1.14549,0.60704,1.07597,0.0010025,0.0010025,0.0010025
12,2833.61,1.23486,0.66821,1.10296,0.82575,0.72264,0.77054,0.48909,1.14712,0.576,1.07459,0.00097775,0.00097775,0.00097775
13,3069.49,1.22191,0.6568,1.10034,0.86916,0.70441,0.76694,0.50162,1.15144,0.58297,1.0742,0.000953,0.000953,0.000953
14,3305.12,1.20937,0.64793,1.0944,0.80287,0.75549,0.78071,0.51109,1.10238,0.55052,1.04938,0.00092825,0.00092825,0.00092825
15,3540.97,1.208,0.64329,1.0925,0.88276,0.71602,0.7812,0.50021,1.13035,0.58903,1.07307,0.0009035,0.0009035,0.0009035
16,3776.72,1.19658,0.63513,1.08604,0.88984,0.7433,0.79551,0.52161,1.09437,0.53517,1.04079,0.00087875,0.00087875,0.00087875
17,4012.53,1.19118,0.62544,1.08264,0.8465,0.74681,0.78697,0.52751,1.07833,0.54336,1.04146,0.000854,0.000854,0.000854
18,4248.47,1.17622,0.61965,1.07843,0.84006,0.74778,0.78506,0.52358,1.08365,0.53045,1.04428,0.00082925,0.00082925,0.00082925
19,4484.22,1.16923,0.61298,1.07538,0.86893,0.7509,0.79287,0.51612,1.09931,0.53114,1.04534,0.0008045,0.0008045,0.0008045
20,4719.96,1.17132,0.60459,1.07245,0.81605,0.7841,0.79627,0.5282,1.07015,0.51348,1.03614,0.00077975,0.00077975,0.00077975
21,4955.63,1.15998,0.60425,1.07048,0.84251,0.78031,0.80414,0.54232,1.05579,0.50902,1.02881,0.000755,0.000755,0.000755
22,5191.4,1.14659,0.59705,1.06406,0.86159,0.77796,0.80524,0.53405,1.09267,0.51534,1.04614,0.00073025,0.00073025,0.00073025
23,5427.14,1.14459,0.59097,1.06005,0.88547,0.75826,0.80423,0.54012,1.04706,0.49857,1.0263,0.0007055,0.0007055,0.0007055
24,5662.82,1.13507,0.58712,1.05815,0.86877,0.77673,0.81708,0.55908,1.03077,0.49548,1.02128,0.00068075,0.00068075,0.00068075
25,5898.47,1.1253,0.58022,1.05373,0.83267,0.78311,0.80976,0.54927,1.03015,0.48936,1.01344,0.000656,0.000656,0.000656
26,6134.16,1.11632,0.57567,1.04835,0.86887,0.78978,0.82071,0.55502,1.03897,0.49792,1.02442,0.00063125,0.00063125,0.00063125
27,6370.12,1.12336,0.57739,1.05439,0.8723,0.79138,0.8247,0.56504,1.00956,0.47886,1.00898,0.0006065,0.0006065,0.0006065
28,6605.82,1.10872,0.56993,1.04426,0.86296,0.79853,0.8245,0.56217,1.0159,0.47981,1.00744,0.00058175,0.00058175,0.00058175
29,6841.67,1.10704,0.56689,1.04587,0.86068,0.79405,0.82398,0.56114,1.01147,0.49351,1.01093,0.000557,0.000557,0.000557
30,7077.46,1.10384,0.56209,1.04564,0.88242,0.79327,0.83552,0.57034,1.00765,0.47326,1.00488,0.00053225,0.00053225,0.00053225
31,7313.25,1.09287,0.55901,1.03914,0.90107,0.782,0.83254,0.57462,0.99994,0.46452,1.00332,0.0005075,0.0005075,0.0005075
32,7549.11,1.08123,0.54893,1.03455,0.87941,0.80226,0.83446,0.57251,1.01002,0.46866,1.00391,0.00048275,0.00048275,0.00048275
33,7784.89,1.0725,0.54722,1.03271,0.87636,0.80349,0.83183,0.56882,0.99261,0.46204,0.99844,0.000458,0.000458,0.000458
34,8020.64,1.07936,0.55054,1.03251,0.87358,0.7983,0.83187,0.57542,0.98092,0.46215,0.99489,0.00043325,0.00043325,0.00043325
35,8256.43,1.06975,0.5445,1.03094,0.84128,0.81704,0.84319,0.58276,0.97812,0.45405,0.99261,0.0004085,0.0004085,0.0004085
36,8492.12,1.05999,0.53771,1.02774,0.87198,0.81311,0.8397,0.58287,0.96759,0.45773,0.99191,0.00038375,0.00038375,0.00038375
37,8727.97,1.05644,0.53592,1.02447,0.88302,0.80251,0.84051,0.58299,0.97293,0.45248,0.99151,0.000359,0.000359,0.000359
38,8963.8,1.05269,0.53405,1.02373,0.87286,0.81151,0.84409,0.58242,0.97332,0.45012,0.98937,0.00033425,0.00033425,0.00033425
39,9199.63,1.03886,0.52994,1.02116,0.88356,0.80942,0.84224,0.58615,0.96253,0.44788,0.9872,0.0003095,0.0003095,0.0003095
40,9435.81,1.04064,0.52596,1.01747,0.84918,0.82093,0.83881,0.58423,0.95501,0.44511,0.9833,0.00028475,0.00028475,0.00028475
41,9667.94,0.97244,0.47158,0.9943,0.86583,0.81706,0.83781,0.58861,0.95387,0.44678,0.98224,0.00026,0.00026,0.00026
42,9899.57,0.95656,0.45949,0.98753,0.84797,0.8249,0.84432,0.59211,0.94663,0.4419,0.98123,0.00023525,0.00023525,0.00023525
43,10131.1,0.94891,0.45496,0.98334,0.84655,0.80675,0.83903,0.59004,0.938,0.4391,0.97939,0.0002105,0.0002105,0.0002105
44,10362.6,0.94096,0.45145,0.98138,0.8661,0.82624,0.84777,0.59417,0.93647,0.43695,0.9762,0.00018575,0.00018575,0.00018575
45,10594.1,0.93407,0.4455,0.97722,0.87372,0.8201,0.84716,0.60007,0.93246,0.43222,0.97639,0.000161,0.000161,0.000161
46,10825.5,0.92243,0.43995,0.97147,0.87033,0.82029,0.84876,0.59944,0.92739,0.43074,0.97369,0.00013625,0.00013625,0.00013625
47,11056.8,0.91533,0.43729,0.97004,0.86627,0.82461,0.84937,0.60496,0.92147,0.42566,0.97017,0.0001115,0.0001115,0.0001115
48,11287.9,0.91018,0.43323,0.96673,0.86962,0.83138,0.85323,0.60886,0.91962,0.42299,0.96867,8.675e-05,8.675e-05,8.675e-05
49,11519.1,0.89769,0.42959,0.96339,0.87919,0.82891,0.85175,0.60909,0.91817,0.42262,0.96951,6.2e-05,6.2e-05,6.2e-05
50,11750.3,0.89767,0.42979,0.96329,0.88865,0.82511,0.85499,0.61035,0.91109,0.42048,0.96584,3.725e-05,3.725e-05,3.725e-05
