epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.986,1.67497,1.75724,1.34879,0.80983,0.46926,0.5137,0.28396,1.45138,1.04126,1.19405,0.000415052,0.000415052,0.000415052
2,345.933,1.50414,1.07353,1.23151,0.73493,0.51956,0.60899,0.36248,1.31483,0.83887,1.14229,0.00081525,0.00081525,0.00081525
3,518.194,1.46973,0.98717,1.21977,0.86215,0.57221,0.65266,0.37507,1.32051,0.81596,1.15401,0.00119895,0.00119895,0.00119895
4,690.623,1.43994,0.9268,1.2087,0.80512,0.60718,0.65955,0.39487,1.3045,0.73976,1.15685,0.00117575,0.00117575,0.00117575
5,863.161,1.41406,0.8759,1.19181,0.75081,0.61143,0.67844,0.42616,1.22771,0.68591,1.11711,0.001151,0.001151,0.001151
6,1035.64,1.39599,0.84844,1.18335,0.80644,0.6408,0.69775,0.4237,1.28826,0.67024,1.11718,0.00112625,0.00112625,0.00112625
7,1207.95,1.37621,0.81676,1.17802,0.84137,0.64156,0.71397,0.45405,1.20051,0.64242,1.08768,0.0011015,0.0011015,0.0011015
8,1380.24,1.35816,0.80084,1.16577,0.74956,0.70568,0.72014,0.43982,1.2089,0.64223,1.10954,0.00107675,0.00107675,0.00107675
9,1552.45,1.35141,0.7888,1.16153,0.86175,0.68611,0.74106,0.4704,1.1779,0.61005,1.0796,0.001052,0.001052,0.001052
10,1724.61,1.3311,0.77022,1.15458,0.81456,0.68858,0.73712,0.47226,1.19512,0.61494,1.08794,0.00102725,0.00102725,0.00102725
11,1896.78,1.32649,0.76537,1.15199,0.85631,0.68172,0.7383,0.46793,1.156,0.61747,1.07852,0.0010025,0.0010025,0.0010025
12,2069.23,1.32352,0.75485,1.15208,0.79534,0.71691,0.7324,0.45459,1.25153,0.61571,1.11096,0.00097775,0.00097775,0.00097775
13,2241.52,1.3014,0.74079,1.14065,0.80914,0.73501,0.76048,0.49111,1.13406,0.57975,1.06639,0.000953,0.000953,0.000953
14,2413.98,1.29694,0.73719,1.13851,0.90251,0.7001,0.76599,0.49308,1.13097,0.5811,1.06535,0.00092825,0.00092825,0.00092825
15,2586.7,1.29271,0.72749,1.13473,0.84871,0.71992,0.75529,0.49686,1.12491,0.56367,1.05377,0.0009035,0.0009035,0.0009035
16,2759.31,1.27538,0.7152,1.12815,0.83482,0.70076,0.751,0.48342,1.15257,0.5984,1.07509,0.00087875,0.00087875,0.00087875
17,2931.96,1.27197,0.70549,1.1272,0.83174,0.72324,0.77011,0.49973,1.12595,0.58647,1.0663,0.000854,0.000854,0.000854
18,3104.59,1.26827,0.70726,1.1242,0.83793,0.73894,0.77924,0.50547,1.12089,0.55898,1.06126,0.00082925,0.00082925,0.00082925
19,3277.33,1.25902,0.69672,1.11945,0.83362,0.73281,0.76778,0.50679,1.07934,0.53978,1.03494,0.0008045,0.0008045,0.0008045
20,3450.01,1.25234,0.68936,1.11869,0.77615,0.74321,0.76533,0.50445,1.09638,0.53883,1.04703,0.00077975,0.00077975,0.00077975
21,3622.61,1.24294,0.6827,1.10965,0.85715,0.73934,0.78326,0.51919,1.0946,0.54433,1.04815,0.000755,0.000755,0.000755
22,3795.03,1.2359,0.67931,1.10776,0.83418,0.74894,0.78522,0.52579,1.07468,0.52841,1.03464,0.00073025,0.00073025,0.00073025
23,3967.46,1.22892,0.66959,1.10691,0.83259,0.76435,0.78877,0.52255,1.07633,0.52628,1.03693,0.0007055,0.0007055,0.0007055
24,4139.87,1.22761,0.66903,1.10385,0.84475,0.75725,0.78588,0.52594,1.07518,0.53018,1.04091,0.00068075,0.00068075,0.00068075
25,4312.34,1.2201,0.66694,1.10151,0.79496,0.75851,0.77609,0.52101,1.06948,0.52115,1.0325,0.000656,0.000656,0.000656
26,4484.92,1.21157,0.65551,1.09652,0.8347,0.75574,0.78916,0.52918,1.05153,0.51243,1.02718,0.00063125,0.00063125,0.00063125
27,4657.66,1.20776,0.65781,1.09567,0.81078,0.77202,0.79102,0.53978,1.04114,0.50926,1.02174,0.0006065,0.0006065,0.0006065
28,4830.36,1.20685,0.65351,1.09512,0.87927,0.75773,0.80831,0.54428,1.05314,0.51797,1.02768,0.00058175,0.00058175,0.00058175
29,5003.05,1.19968,0.64681,1.0917,0.84688,0.77799,0.80812,0.54281,1.04628,0.50869,1.02245,0.000557,0.000557,0.000557
30,5175.68,1.19132,0.63994,1.08722,0.84547,0.77296,0.80152,0.54586,1.03451,0.49996,1.01609,0.00053225,0.00053225,0.00053225
31,5348.5,1.19068,0.63873,1.08681,0.83574,0.78517,0.81186,0.55046,1.03887,0.5041,1.02117,0.0005075,0.0005075,0.0005075
32,5521.07,1.1747,0.63083,1.08224,0.84595,0.77877,0.7999,0.54397,1.0393,0.50585,1.02106,0.00048275,0.00048275,0.00048275
33,5693.78,1.1742,0.63182,1.08161,0.85281,0.779,0.8135,0.55365,1.03316,0.49474,1.01815,0.000458,0.000458,0.000458
34,5866.44,1.16898,0.62285,1.07845,0.84283,0.78539,0.8068,0.55262,1.01972,0.48644,1.01001,0.00043325,0.00043325,0.00043325
35,6039.14,1.16139,0.61907,1.07446,0.86808,0.78155,0.81347,0.55493,1.02025,0.48435,1.01073,0.0004085,0.0004085,0.0004085
36,6211.69,1.1541,0.6161,1.07011,0.84164,0.79553,0.82066,0.56151,1.00801,0.48254,1.00472,0.00038375,0.00038375,0.00038375
37,6384.66,1.14834,0.61095,1.0653,0.85759,0.78015,0.81121,0.55759,1.00639,0.48262,1.00439,0.000359,0.000359,0.000359
38,6557.49,1.14508,0.6089,1.06713,0.85588,0.79926,0.82522,0.56462,1.0112,0.47993,1.00963,0.00033425,0.00033425,0.00033425
39,6730.53,1.15233,0.61424,1.07104,0.87954,0.80042,0.82425,0.57008,0.99929,0.47317,1.00434,0.0003095,0.0003095,0.0003095
40,6903.36,1.14383,0.60713,1.0657,0.84959,0.80202,0.83004,0.56726,0.9941,0.47259,1.0018,0.00028475,0.00028475,0.00028475
41,7070.56,1.0296,0.50923,1.01789,0.85874,0.78541,0.82431,0.56184,1.00376,0.47695,1.00526,0.00026,0.00026,0.00026
42,7237.31,1.00627,0.49363,1.00891,0.84513,0.79932,0.82691,0.56459,1.0013,0.47206,1.00313,0.00023525,0.00023525,0.00023525
43,7404.16,0.99613,0.48757,1.00437,0.84144,0.80376,0.82688,0.56803,0.99444,0.46938,1.00031,0.0002105,0.0002105,0.0002105
44,7570.86,0.9948,0.48454,1.00429,0.87009,0.79983,0.83427,0.57547,0.98553,0.46624,0.9969,0.00018575,0.00018575,0.00018575
45,7737.62,0.98225,0.4779,0.99904,0.85959,0.80625,0.83735,0.57719,0.9814,0.46237,0.99607,0.000161,0.000161,0.000161
46,7904.33,0.97207,0.47406,0.99311,0.86368,0.81107,0.83687,0.58159,0.9785,0.45997,0.99388,0.00013625,0.00013625,0.00013625
47,8071.15,0.96622,0.47017,0.99162,0.87103,0.80631,0.83313,0.5769,0.9739,0.458,0.99125,0.0001115,0.0001115,0.0001115
48,8237.85,0.95905,0.46775,0.98693,0.89674,0.79786,0.83633,0.58357,0.97225,0.45424,0.99109,8.675e-05,8.675e-05,8.675e-05
49,8404.51,0.95187,0.46342,0.98643,0.86074,0.80982,0.83715,0.58465,0.96766,0.45401,0.98983,6.2e-05,6.2e-05,6.2e-05
50,8571.07,0.94729,0.46173,0.98346,0.85368,0.81413,0.83927,0.58605,0.96329,0.45098,0.98777,3.725e-05,3.725e-05,3.725e-05
