epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.367,1.72898,1.77373,1.33901,0.91987,0.40359,0.48374,0.27776,1.4117,1.02226,1.15544,0.000415052,0.000415052,0.000415052
2,386.922,1.51126,1.07801,1.22188,0.73248,0.52633,0.59166,0.34942,1.33495,0.86312,1.14792,0.00081525,0.00081525,0.00081525
3,579.419,1.4684,0.99571,1.21344,0.70784,0.57946,0.62219,0.37291,1.32698,0.8062,1.15361,0.00119895,0.00119895,0.00119895
4,772.839,1.44171,0.92672,1.20232,0.82211,0.58284,0.64944,0.37129,1.33806,0.75978,1.15919,0.00117575,0.00117575,0.00117575
5,966.202,1.4179,0.87754,1.1909,0.77557,0.62083,0.68197,0.4207,1.22846,0.69116,1.107,0.001151,0.001151,0.001151
6,1159.19,1.39588,0.85257,1.18125,0.79845,0.66739,0.70338,0.42552,1.30241,0.70447,1.13487,0.00112625,0.00112625,0.00112625
7,1352.22,1.37656,0.82106,1.17762,0.80353,0.6748,0.72475,0.45626,1.21202,0.65172,1.09111,0.0011015,0.0011015,0.0011015
8,1545.23,1.35415,0.79784,1.16237,0.79684,0.68196,0.72246,0.45685,1.17947,0.62095,1.08319,0.00107675,0.00107675,0.00107675
9,1738.1,1.35301,0.79144,1.16166,0.74005,0.69135,0.72278,0.44307,1.22691,0.62938,1.09276,0.001052,0.001052,0.001052
10,1930.95,1.33155,0.77215,1.15578,0.87646,0.66749,0.73452,0.4647,1.16317,0.625,1.08108,0.00102725,0.00102725,0.00102725
11,2123.56,1.32636,0.76307,1.15136,0.80149,0.70481,0.75255,0.47333,1.15621,0.61177,1.07616,0.0010025,0.0010025,0.0010025
12,2316.58,1.32411,0.7549,1.15106,0.81317,0.71055,0.75006,0.47377,1.20239,0.62678,1.0976,0.00097775,0.00097775,0.00097775
13,2509.34,1.30163,0.74048,1.13939,0.78064,0.68371,0.74325,0.48768,1.1253,0.57764,1.06055,0.000953,0.000953,0.000953
14,2702.45,1.29374,0.73614,1.13695,0.78099,0.73727,0.76432,0.49657,1.10362,0.57799,1.05662,0.00092825,0.00092825,0.00092825
15,2895.63,1.28994,0.72698,1.13287,0.81589,0.73201,0.76416,0.49143,1.15133,0.57778,1.07293,0.0009035,0.0009035,0.0009035
16,3088.63,1.27185,0.71148,1.12557,0.83963,0.72278,0.77061,0.49312,1.14255,0.58612,1.06833,0.00087875,0.00087875,0.00087875
17,3281.5,1.26851,0.70507,1.12464,0.85571,0.73031,0.781,0.51767,1.09508,0.56426,1.04598,0.000854,0.000854,0.000854
18,3474.33,1.26962,0.70637,1.12445,0.83534,0.73651,0.78755,0.51717,1.09676,0.55146,1.04811,0.00082925,0.00082925,0.00082925
19,3667.18,1.25632,0.69436,1.11698,0.85343,0.74919,0.79004,0.52143,1.08757,0.54738,1.04119,0.0008045,0.0008045,0.0008045
20,3859.91,1.25352,0.693,1.11815,0.85313,0.73674,0.77696,0.5099,1.08522,0.53876,1.03789,0.00077975,0.00077975,0.00077975
21,4052.53,1.24172,0.68399,1.10917,0.82451,0.7661,0.79273,0.52831,1.07625,0.53713,1.04148,0.000755,0.000755,0.000755
22,4245.05,1.23204,0.67837,1.10609,0.89691,0.71678,0.78512,0.5296,1.07173,0.53874,1.03362,0.00073025,0.00073025,0.00073025
23,4437.59,1.22732,0.67005,1.10665,0.80164,0.77043,0.79308,0.52009,1.06998,0.52538,1.03162,0.0007055,0.0007055,0.0007055
24,4630.09,1.22468,0.6683,1.10311,0.89457,0.74813,0.80401,0.54133,1.0504,0.51804,1.02682,0.00068075,0.00068075,0.00068075
25,4822.71,1.21569,0.66554,1.09884,0.84702,0.72616,0.78508,0.52844,1.05233,0.52229,1.02586,0.000656,0.000656,0.000656
26,5015.33,1.20691,0.65646,1.09445,0.86192,0.76037,0.80277,0.54447,1.04274,0.51314,1.02305,0.00063125,0.00063125,0.00063125
27,5208.07,1.20583,0.65616,1.09414,0.83704,0.77469,0.80994,0.55192,1.03353,0.51244,1.01855,0.0006065,0.0006065,0.0006065
28,5400.65,1.20379,0.65323,1.09268,0.86359,0.7514,0.80226,0.5447,1.0351,0.51626,1.01795,0.00058175,0.00058175,0.00058175
29,5593.29,1.19633,0.64537,1.08984,0.8267,0.7788,0.80786,0.54307,1.04257,0.5137,1.0199,0.000557,0.000557,0.000557
30,5785.83,1.18387,0.64003,1.0847,0.86156,0.7728,0.79905,0.54928,1.02349,0.5012,1.0142,0.00053225,0.00053225,0.00053225
31,5978.62,1.18674,0.63699,1.08468,0.85124,0.77206,0.80446,0.5443,1.026,0.50142,1.01615,0.0005075,0.0005075,0.0005075
32,6171.22,1.16983,0.62812,1.07925,0.8433,0.78748,0.80591,0.54804,1.02059,0.50187,1.01231,0.00048275,0.00048275,0.00048275
33,6363.77,1.16973,0.63001,1.07899,0.83424,0.78823,0.81455,0.55713,1.01479,0.49244,1.00756,0.000458,0.000458,0.000458
34,6556.31,1.16185,0.62083,1.0757,0.85787,0.7942,0.81908,0.56611,1.00264,0.48414,1.00381,0.00043325,0.00043325,0.00043325
35,6748.78,1.15329,0.61684,1.0704,0.85556,0.78707,0.81835,0.56231,1.00113,0.48111,1.00296,0.0004085,0.0004085,0.0004085
36,6940.56,1.14719,0.61219,1.06807,0.86677,0.7906,0.81918,0.56243,0.99972,0.48576,1.00258,0.00038375,0.00038375,0.00038375
37,7132.76,1.14393,0.60901,1.06366,0.84779,0.78428,0.80952,0.56228,0.99519,0.48307,0.99968,0.000359,0.000359,0.000359
38,7325,1.13899,0.60777,1.0649,0.84892,0.77497,0.80775,0.5603,1.00117,0.47814,1.00119,0.00033425,0.00033425,0.00033425
